Period,2018,2019,2020
Jan,,71.793,79.414
Feb,,73.536,82.521
Mar,,74.038,97.318
Apr,,72.977,97.485
May,,72.936,111.538
Jun,,72.974,
Jul,73.368,73.258,
Aug,73.786,73.589,
Sep,74.058,74.664,
Oct,74.426,78.866,
Nov,74.701,79.208,
Dec,71.214,79.28,
