Period,2018,2019,2020
Jan,,118.922,125.010
Feb,,120.137,130.357
Mar,,120.915,143.186
Apr,,121.638,143.380
May,,122.071,160.038
Jun,,122.373,
Jul,112.605,122.981,
Aug,113.043,123.447,
Sep,113.554,123.873,
Oct,114.557,124.11,
Nov,115.181,124.656,
Dec,118.089,124.848,
