Period,2018,2019,2020
Jan,,89.669,96.055
Feb,,88.451,102.143
Mar,,89.048,113.954
Apr,,89.295,114.131
May,,89.597,129.905
Jun,,89.769,
Jul,84.698,90.246,
Aug,85.101,90.571,
Sep,85.627,90.887,
Oct,86.307,90.946,
Nov,86.799,91.294,
Dec,89.115,95.915,
