Period,2017,2018,2019,2020
Jan,1552.58,1472.034,1480.957,1588.421
Feb,1712.3,1596.091,1702.351,1508.379
Mar,2513.25,1891.525,2004.847,2016.365
Apr,1524.85,1913.814,1797.079,1504.560
May,2158.91,1950.814,1955.946,1447.565
Jun,2107.28,1847.92,1731.053,
Jul,1682.28,1652.742,2145.71,
Aug,2653.6,2322.35,2190.384,
Sep,1426.47,1509.714,1944.495,
Oct,2039.9,2021.91,2014.95,
Nov,1758.51,2032.82,1761.47,
Dec,2581.78,2582.728,2296.846,
