Period,2017,2018,2019,2020
Jan,1003.810,983.651,991.5940,1147.456
Feb,907.050,845.436,945.0220,991.413
Mar,1176.160,924.134,1105.5300,1178.050
Apr,918.830,982.421,982.483,8217.330
May,1012.820,914.725,1114.085,9122.938
Jun,983.500,821.541,887.412,
Jul,1048.860,867.670,1161.386,
Aug,1199.437,1085.382,1087.639,
Sep,831.326,850.656,1011.619,
Oct,953.139,1087.165,1193.784,
Nov,923.172,1085.962,1098.695,
Dec,995.354,1145.042,1239.03,
