Period,2017,2018,2019,2020
Jan,52.2,43.206,49.763,92.756
Feb,53.55,41.818,44.948,78.377
Mar,53.28,40.9,46.933,107.063
Apr,54.91,41.727,47.858,85.671
May,46.15,46.837,49.306,80.291
Jun,32.35,42.159,42.755,
Jul,44.07,37.668,48.889,
Aug,44.058,39.312,48.698,
Sep,40.174,38.395,49.742,
Oct,53.842,39.801,64.465,
Nov,39.697,42.013,68.673,
Dec,36.478,46.37,90.556,
