Period,2017,2018,2019,2020
Jan,108.63,87.076,134.656,122.685
Feb,88.910,78.860,93.313,85.092
Mar,91.630,79.537,88.565,80.418
Apr,77.470,92.548,95.784,40.992
May,90.750,97.268,118.623,44.465
Jun,67.600,78.133,85.710,
Jul,62.051,79.714,77.682,
Aug,66.365,80.620,74.909,
Sep,61.661,114.508,105.741,
Oct,63.098,99.547,92.895,
Nov,68.900,86.371,64.023,
Dec,58.910,74.825,67.904,
