'Period',2017,2018,2019,2020
'Jan',31.09,25.647,18.417,19.715
'Feb',21.45,26.751,23.269,13.547
'Mar',23.82,26.752,9.858,25.189
'Apr',20.8,38.051,37.535,41.720
'May',37.86,26.968,25.744,17.375
'Jun',29.28,15.771,14.279,
'Jul',31.28,39.61,37.673,
'Aug',32.872,27.97,37.673,
'Sep',17.172,14.355,36.969,
'Oct',31.728,33.86,25.259,
'Nov',27.329,26.375,17.553,
'Dec',16.261,24.809,38.807,
