Period,2017,2018,2019,2020
Jan,906.897,885.166,712.191,628.628
Feb,836.129,784.659,640.497,594.093
Mar,907.508,806.284,653.032,577.644
Apr,747.344,737.353,638.248,14.475
May,992.118,798.737,718.139,266.335
Jun,908.035,732.157,591.741,
Jul,955.08,715.414,697.915,
Aug,1009.902,685.571,587.515,
Sep,866.274,665.837,637.24,
Oct,951.364,778.007,686.133,
Nov,919.59,723.227,597.485,
Dec,808.746,706.844,652.412,
