Period,2017,2018,2019,2020
Jan,27.538,29.972,39.099,49.493
Feb,27.359,30.297,39.400,47.776
Mar,33.443,31.506,40.717,46.351
Apr,26.213,30.936,39.080,5.498
May,30.366,32.419,44.023,16.579
Jun,29.994,30.452,38.082,
Jul,28.229,34.266,51.435,
Aug,36.031,33.990,38.082,
Sep,28.384,33.051,52.927,
Oct,30.573,36.791,54.413,
Nov,30.649,34.487,44.431,
Dec,22.729,31.137,36.528,
