Period,2017,2018,2019,2020
Jan,20.06145,41.02142,72.29033,111.345
Feb,24.07137,43.86326,72.586346,120.261
Mar,25.52474,54.90566,87.93942,135.298
Apr,24.29573,52.02536,87.94186,107.171
May,28.06932,58.64646,95.98049,141.254
Jun,28.45809,57.94649,87.42220,
Jul,32.24578,60.957648,96.89225,
Aug,33.150763,66.312916,101.05672,
Sep,32.13435,65.548414,101.0396,
Oct,36.853838,70.238031,106.51218,
Nov,40.026062,74.05606,109.556449,
Dec,45.979229,83.91533,126.56738,
