Period,2017,2018,2019,2020
Jan,4087.830,5749.280,8114.079,10299.618
Feb,4337.590,5601.943,7469.189,9974.259
Mar,4702.490,6450.987,8583.976,10967.980
Apr,4264.590,6019.146,8276.860,7010.046
May,4759.370,6626.982,9038.598,10405.853
Jun,4339.310,6444.647,7867.473,
Jul,4579.72,6444.916,8969.344,
Aug,4931.435,6855.013,8730.240,
Sep,4451.501,6655.399,8482.308,
Oct,4848.503,7328.148,9331.216,
Nov,5373.168,7851.839,9622.379,
Dec,5490.146,8394.715,10736.898,
