Period,2017,2018,2019,2020
Jan,12.09,20.952,26.828,133.215
Feb,14.63,22.397,30.028,148.314
Mar,18.21,24.392,38.441,169.849
Apr,16.64,23.979,41.552,172.090
May,16.92,25.239,46.852,230.237
Jun,12.73,23.619,45.283,
Jul,14.85,23.552,60.132,
Aug,15.251,26.787,84.807,
Sep,16.342,25.457,87.501,
Oct,17.848,21.922,103.672,
Nov,18.867,25.585,114.037,
Dec,21.908,28.136,148.968,
