Period,2017,2018,2019,2020
Jan,269.594,470.442,724.803,7352.866
Feb,403.962,515.692,932.355,8207.186
Mar,506.309,620.723,1258.533,8856.913
Apr,479.539,579.534,1446.638,7124.374
May,511.545,669.672,1788.857,9519.214
Jun,286.700,605.760,1847.142,
Jul,356.973,625.585,2897.732,
Aug,405.269,662.175,4398.327,
Sep,428.364,610.553,4717.203,
Oct,470.182,569.837,6221.407,
Nov,502.801,632.406,6741.234,
Dec,509.478,667.583,8237.843,
