Period,2017,2018,2019,2020
Jan,91.29,152.099,222.921,313.427
Feb,90.2,144.876,193.426,326.030
Mar,104.48,177.755,217.457,368.856
Apr,104.84,172.313,246.097,272.053
May,111.63,189.483,257.731,358.104
Jun,107.66,181.827,245.990,
Jul,116.57,185.041,279.475,
Aug,124.395,204.805,294.036,
Sep,123.579,200.18,283.353,
Oct,132.393,212.368,287.747,
Nov,135.182,230.026,303.829,
Dec,167.579,271.95,372.687,
