Period,2017,2018,2019,2020
Jan,"134,906","188,493","266,418","449,998"
Feb,"139,882","192,414","272,272","454,069"
Mar,"137,047","200,000","270,111","470,122"
Apr,"145,457","208,537","287,213","476,398"
May,"156,607","216,107","297,180","488,825"
Jun,"156,394","219,930","295,883",
Jul,"161,737","221,281","307,126",
Aug,"173,815","229,251","314,970",
Sep,"169,318","237,010","384,218",
Oct,"176,185","238,511","404,283",
Nov,"177,458","249,043",,
Dec,"182,806","258,443","446,453",
