Period,2017,2018,2019,2020
Jan,7.94677,16.10296,28.16274,41.305041
Feb,8.60688,16.73136,25.77864,46.07167
Mar,10.09334,20.728441,29.82075,52.24902
Apr,10.42061,20.751162,33.36878,40.859206
May,11.13349,23.180315,35.46668,48.371074
Jun,11.22063,23.298442,35.09756,
Jul,12.73787,24.069191,39.22441,
Aug,13.27681,26.120067,41.37983,
Sep,13.2955,25.84631,40.74077,
Oct,15.052573,27.727169,41.60202,
Nov,15.425224,29.40542,41.83376,
Dec,17.057465,31.92661,46.13823,
