'Period',2017,2018,2019,2020
'Jan',18.833,56.746,67.148,52.241
'Feb',18.644,55.401,79.126,47.003
'Mar',23.032,59.722,88.015,48.546
'Apr',27.395,64.365,68.479,20.355
'May',29.224,75.793,63.398,21.497
'Jun',18.582,77.366,33.916,
'Jul',28.671,91.478,35.335,
'Aug',29.4,113.821,34.317,
'Sep',33.52,134.717,41.621,
'Oct',44.608,198.72,62.003,
'Nov',53.747,203.203,50.571,
'Dec',49.721,129.048,40.796,
